epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1328,1.18769,1.40953,1.22092,0.715,0.58447,0.67926,0.51265,1.0624,1.01622,1.10464,3.47083e-05,3.47083e-05,3.47083e-05
2,137.693,1.1731,1.24287,1.21392,0.73245,0.60959,0.69082,0.51342,1.05933,1.0002,1.09977,7.29024e-05,7.29024e-05,7.29024e-05
3,210.416,1.22796,1.26563,1.24708,0.75349,0.62595,0.7058,0.51697,1.05822,1.02128,1.09552,0.000109526,0.000109526,0.000109526
4,278.509,1.10087,1.11871,1.20123,0.78265,0.63541,0.71699,0.52519,1.05396,1.03341,1.08732,0.000111931,0.000111931,0.000111931
5,347.805,1.14102,1.10204,1.20014,0.77123,0.6555,0.72537,0.53873,1.0372,0.99907,1.07593,0.000109575,0.000109575,0.000109575
6,421.369,1.06544,1.10275,1.16164,0.76572,0.67421,0.73223,0.55293,1.02608,0.9614,1.0681,0.000107219,0.000107219,0.000107219
7,505.083,1.15637,1.14681,1.18827,0.72951,0.68254,0.74217,0.56626,1.02571,0.9201,1.06377,0.000104863,0.000104863,0.000104863
8,589.053,1.07547,1.0759,1.15849,0.74856,0.67401,0.74352,0.56572,1.02399,0.88766,1.06099,0.000102507,0.000102507,0.000102507
9,676.002,1.03835,1.02449,1.15693,0.80052,0.64842,0.74511,0.57136,1.00786,0.86001,1.05256,0.00010015,0.00010015,0.00010015
10,764.453,1.06892,0.99019,1.12567,0.74366,0.69164,0.75554,0.58118,0.98848,0.83393,1.04372,9.77942e-05,9.77942e-05,9.77942e-05
11,831.821,1.03801,0.96216,1.12636,0.77117,0.71959,0.7564,0.58431,0.98013,0.81974,1.03895,9.5438e-05,9.5438e-05,9.5438e-05
12,899.031,1.12751,1.02845,1.14997,0.78651,0.71716,0.76754,0.59546,0.9701,0.80532,1.03466,9.30818e-05,9.30818e-05,9.30818e-05
